@ NAME             %05s "TWISS"
@ TYPE             %05s "TWISS"
@ SEQUENCE         %05s "WHOLP"
@ PARTICLE         %08s "ELECTRON"
@ MASS             %le   5.109989500e-04
@ CHARGE           %le  -1.000000000e+00
@ ENERGY           %le   5.100000000e-01
@ PC               %le   5.099997440e-01
@ GAMMA            %le   9.980451036e+02
@ KBUNCH           %le   1.000000000e+00
@ BCURRENT         %le   4.921883050e-13
@ SIGE             %le   1.000000000e-03
@ SIGT             %le   1.000000000e+00
@ NPART            %le   1.000000000e+00
@ EX               %le   1.000000000e+00
@ EY               %le   1.000000000e+00
@ ET               %le   1.000000000e-03
@ BV_FLAG          %le   1.000000000e+00
@ LENGTH           %le   9.758866355e+01
@ ALFA             %le   1.882639370e-02
@ ORBIT5           %le   8.132392712e-03
@ GAMMATR          %le   7.288135388e+00
@ Q1               %le   5.088785226e+00
@ Q2               %le   5.145485632e+00
@ DQ1              %le  -6.890779986e-01
@ DQ2              %le  -7.244317985e-01
@ DXMAX            %le   2.177506738e+00
@ DYMAX            %le  -0.000000000e+00
@ XCOMAX           %le   7.734571426e-14
@ YCOMAX           %le   0.000000000e+00
@ BETXMAX          %le   2.021377269e+01
@ BETYMAX          %le   1.971040762e+01
@ XCORMS           %le   4.080418597e-14
@ YCORMS           %le   0.000000000e+00
@ DXRMS            %le   1.081822313e+00
@ DYRMS            %le   0.000000000e+00
@ DELTAP           %le   0.000000000e+00
@ SYNCH_1          %le   1.837826544e+00
@ SYNCH_2          %le   9.318292367e+00
@ SYNCH_3          %le   7.624727299e+00
@ SYNCH_4          %le   1.471756523e-01
@ SYNCH_5          %le   7.469341954e+00
@ SYNCH_6          %le   3.978197700e+02
@ SYNCH_8          %le   4.364184489e+01
@ DQMIN            %le   0.000000000e+00
@ DQMIN_PHASE      %le   0.000000000e+00
@ TITLE            %01s "s"
@ ORIGIN           %16s "5.09.01 Linux 64"
@ DATE             %08s "13/06/24"
@ TIME             %08s "18.28.23"
* NAME                              S             BETX             BETY               DX               DY              DDX              DDY             ALFX             ALFY              MUX              MUY 
$ %s                              %le              %le              %le              %le              %le              %le              %le              %le              %le              %le              %le 
 "SXPPL101"           2.880000000e+00  3.188067290e+00  1.371711925e+01 -7.053211968e-01  0.000000000e+00  1.777989068e+01  0.000000000e+00  2.255569792e+00 -5.600510378e+00  5.435869736e-02  1.714049712e-01
 "SXPPL101"           2.930000000e+00  2.967284046e+00  1.428306907e+01 -6.765398682e-01  0.000000000e+00  1.629019052e+01  0.000000000e+00  2.160095096e+00 -5.718486011e+00  5.694611161e-02  1.719734953e-01
 "LL9"                3.105000000e+00  2.269729014e+00  1.635679924e+01 -5.758052180e-01  0.000000000e+00  1.105365215e+01  0.000000000e+00  1.825933661e+00 -6.131400726e+00  6.768653252e-02  1.737957443e-01
 "QUAPL102"           3.255000000e+00  1.851903840e+00  1.747525609e+01 -5.017115369e-01  0.000000000e+00  6.791555528e+00  0.000000000e+00  1.000873790e+00 -1.213747529e+00  7.942831606e-02  1.751973363e-01
 "QUAPL102"           3.405000000e+00  1.651181349e+00  1.706357765e+01 -4.500872186e-01  0.000000000e+00  2.856174439e+00  0.000000000e+00  3.571196241e-01  3.917328980e+00  9.319951349e-02  1.765695934e-01
 "LL8A"               3.520000000e+00  1.578074728e+00  1.617526041e+01 -4.184711961e-01  0.000000000e+00 -8.202626754e-02  0.000000000e+00  2.785901160e-01  3.807168692e+00  1.045476581e-01  1.776712868e-01
 "CHVPL102"           3.570000000e+00  1.551922880e+00  1.579693833e+01 -4.047250994e-01  0.000000000e+00 -1.359504836e+00  0.000000000e+00  2.444468517e-01  3.759272915e+00  1.096335274e-01  1.781691142e-01
 "CHVPL102"           3.620000000e+00  1.529185358e+00  1.542340583e+01 -3.909790026e-01  0.000000000e+00 -2.636983404e+00  0.000000000e+00  2.103035873e-01  3.711377137e+00  1.148000851e-01  1.786789311e-01
 "LL8B"               4.723000000e+00  1.896035699e+00  8.401516544e+00 -8.774010893e-02  0.000000000e+00 -3.081816062e+01  0.000000000e+00 -5.428968245e-01  2.654796287e+00  2.269496195e-01  1.941246668e-01
 "QUAPL103"           4.913000000e+00  2.096229396e+00  7.545066925e+00 -3.497334524e-02  0.000000000e+00 -3.542789465e+01  0.000000000e+00 -5.054319336e-01  1.875556640e+00  2.421023557e-01  1.979326935e-01
